id,worksheet_template_id:id,worksheet_success_conditions
crm.stage_lead1,,
crm.stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
crm.stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
crm.stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead1,,
aak_crm_data.avlc_paging_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_paging_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead1,,
aak_crm_data.avlc_answering_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_answering_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead1,,
aak_crm_data.avlc_security_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.avlc_security_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead1,,
aak_crm_data.ls_2wayradio_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_2wayradio_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead1,,
aak_crm_data.ls_paging_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_paging_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead1,,
aak_crm_data.ls_answering_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_answering_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead1,,
aak_crm_data.ls_security_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.ls_security_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead1,,
aak_crm_data.tc_2wayradio_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_2wayradio_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead1,,
aak_crm_data.tc_paging_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_paging_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead1,,
aak_crm_data.tc_answering_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_answering_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead1,,
aak_crm_data.tc_security_service_stage_lead2,aak_crm_worksheet_data.crm_worksheet_template_opportunity,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead3,aak_crm_worksheet_data.crm_worksheet_template_project_identification,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead4,aak_crm_worksheet_data.crm_worksheet_template_timeline_budget_approved,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead5,aak_crm_worksheet_data.crm_worksheet_template_fit_established,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead6,aak_crm_worksheet_data.crm_worksheet_template_solution_presented,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead7,aak_crm_worksheet_data.crm_worksheet_template_proposal,"[(""x_passed"", ""="", True)]"
aak_crm_data.tc_security_service_stage_lead8,aak_crm_worksheet_data.crm_worksheet_template_commitment_to_move_final,"[(""x_passed"", ""="", True)]"
