id,component_id:id,product_id,quantity
product_components__component_list_2way_radio__77168,component_list_2way_radio,77168,1
product_components__component_list_2way_radio__14326,component_list_2way_radio,14326,1
product_components__component_list_2way_radio__20166,component_list_2way_radio,20166,1
product_components__component_list_2way_radio__52719,component_list_2way_radio,52719,1
product_components__component_list_2way_radio__91112,component_list_2way_radio,91112,1
product_components__component_list_2way_radio__25061,component_list_2way_radio,25061,1
product_components__component_list_2way_radio__38275,component_list_2way_radio,38275,1
product_components__component_list_2way_radio__88229,component_list_2way_radio,88229,1
product_components__component_list_2way_radio__96508,component_list_2way_radio,96508,1
product_components__component_list_2way_radio__49003,component_list_2way_radio,49003,1
product_components__component_list_2way_radio__220521,component_list_2way_radio,220521,1
product_components__component_list_2way_radio__56313,component_list_2way_radio,56313,1
product_components__component_list_2way_radio__78529,component_list_2way_radio,78529,1
product_components__component_list_2way_radio__74131,component_list_2way_radio,74131,1
product_components__component_list_2way_radio__215668,component_list_2way_radio,215668,1
product_components__component_list_2way_radio__53696,component_list_2way_radio,53696,1
product_components__component_list_2way_radio__56159,component_list_2way_radio,56159,1
product_components__component_list_2way_radio__53350,component_list_2way_radio,53350,1
product_components__component_list_2way_radio__87345,component_list_2way_radio,87345,1
product_components__component_list_2way_radio__13266,component_list_2way_radio,13266,1
product_components__component_list_2way_radio__80763,component_list_2way_radio,80763,1
product_components__component_list_2way_radio__18729,component_list_2way_radio,18729,1
product_components__component_list_2way_radio__38656,component_list_2way_radio,38656,1
product_components__component_list_2way_radio__91624,component_list_2way_radio,91624,1
product_components__component_list_2way_radio__44039,component_list_2way_radio,44039,1
product_components__component_list_2way_radio__21140,component_list_2way_radio,21140,1
product_components__component_list_2way_radio__48055,component_list_2way_radio,48055,1
product_components__component_list_2way_radio__56866,component_list_2way_radio,56866,1
product_components__component_list_2way_radio__24294,component_list_2way_radio,24294,1
product_components__component_list_2way_radio__208991,component_list_2way_radio,208991,1
product_components__component_list_2way_radio__75862,component_list_2way_radio,75862,1
product_components__component_list_2way_radio__59004,component_list_2way_radio,59004,1
product_components__component_list_2way_radio__10652,component_list_2way_radio,10652,1
product_components__component_list_2way_radio__48159,component_list_2way_radio,48159,1
product_components__component_list_2way_radio__211112,component_list_2way_radio,211112,1
product_components__component_list_2way_radio__31679,component_list_2way_radio,31679,1
product_components__component_list_2way_radio__43884,component_list_2way_radio,43884,1
product_components__component_list_2way_radio__11034,component_list_2way_radio,11034,1
product_components__component_list_2way_radio__42966,component_list_2way_radio,42966,1
product_components__component_list_2way_radio__59533,component_list_2way_radio,59533,1
product_components__component_list_2way_radio__60117,component_list_2way_radio,60117,1
product_components__component_list_2way_radio__10229,component_list_2way_radio,10229,1
product_components__component_list_2way_radio__70080,component_list_2way_radio,70080,1
product_components__component_list_2way_radio__41981,component_list_2way_radio,41981,1
product_components__component_list_2way_radio__78875,component_list_2way_radio,78875,1
product_components__component_list_2way_radio__48079,component_list_2way_radio,48079,1
product_components__component_list_2way_radio__28094,component_list_2way_radio,28094,1
product_components__component_list_2way_radio__48166,component_list_2way_radio,48166,1
product_components__component_list_2way_radio__69945,component_list_2way_radio,69945,1
product_components__component_list_2way_radio__218063,component_list_2way_radio,218063,1
product_components__component_list_2way_radio__80271,component_list_2way_radio,80271,1
product_components__component_list_2way_radio__21695,component_list_2way_radio,21695,1
product_components__component_list_2way_radio__66392,component_list_2way_radio,66392,1
product_components__component_list_2way_radio__213919,component_list_2way_radio,213919,1
product_components__component_list_2way_radio__60917,component_list_2way_radio,60917,1
product_components__component_list_2way_radio__90979,component_list_2way_radio,90979,1
product_components__component_list_2way_radio__61089,component_list_2way_radio,61089,1
product_components__component_list_2way_radio__207177,component_list_2way_radio,207177,1
product_components__component_list_2way_radio__91743,component_list_2way_radio,91743,1
product_components__component_list_2way_radio__92089,component_list_2way_radio,92089,1
product_components__component_list_2way_radio__73174,component_list_2way_radio,73174,1
product_components__component_list_2way_radio__55234,component_list_2way_radio,55234,1
product_components__component_list_2way_radio__41852,component_list_2way_radio,41852,1
product_components__component_list_2way_radio__65782,component_list_2way_radio,65782,1
product_components__component_list_2way_radio__94573,component_list_2way_radio,94573,1
product_components__component_list_2way_radio__53682,component_list_2way_radio,53682,1
product_components__component_list_2way_radio__64365,component_list_2way_radio,64365,1
product_components__component_list_2way_radio__80559,component_list_2way_radio,80559,1
product_components__component_list_2way_radio__90428,component_list_2way_radio,90428,1
product_components__component_list_2way_radio__88844,component_list_2way_radio,88844,1
product_components__component_list_2way_radio__220166,component_list_2way_radio,220166,1
product_components__component_list_2way_radio__71998,component_list_2way_radio,71998,1
product_components__component_list_2way_radio__57619,component_list_2way_radio,57619,1
product_components__component_list_2way_radio__10998,component_list_2way_radio,10998,1
product_components__component_list_2way_radio__67546,component_list_2way_radio,67546,1
product_components__component_list_2way_radio__92560,component_list_2way_radio,92560,1
