id,default_code,name,is_storable,tracking,categ_id:id
product_template_10077,10077,Solder,TRUE,none,aak_product_data.product_category_components
product_template_10192,10192,N Right Angle Adapter,TRUE,none,aak_product_data.product_category_components
product_template_10229,10229,16-14 Ring Connector,TRUE,none,aak_product_data.product_category_components
product_template_10364,10364,Male Crimp-RG58,TRUE,none,aak_product_data.product_category_components
product_template_10483,10483,"Cable Clamps 3/16"" Nylon - 100 Pk.",TRUE,none,aak_product_data.product_category_components
product_template_10652,10652,144-190 Notch Duplexer,TRUE,none,aak_product_data.product_category_components
product_template_10772,10772,LAIRD 152-162 MHz Unity Gain 1/4 Wave Antenna,TRUE,none,aak_product_data.product_category_components
product_template_10849,10849,RG58,TRUE,none,aak_product_data.product_category_components
product_template_10998,10998,406-512 Mhzx 2-Way Power Divider,TRUE,none,aak_product_data.product_category_components
product_template_11034,11034,155-163 MHZ  3DB GAIN FIBERGLASS ANTENNA,TRUE,none,aak_product_data.product_category_components
product_template_11461,11461,Duplexer,TRUE,none,aak_product_data.product_category_components
product_template_11695,11695,BUSSMANN 3 Amp mini-ATM blade fuses. 10 per package.,TRUE,none,aak_product_data.product_category_components
product_template_11904,11904,UHF M Crimp Connector (25 Pack),TRUE,none,aak_product_data.product_category_components
product_template_12606,12606,Bracket for Polyphaser..,TRUE,none,aak_product_data.product_category_components
product_template_13266,13266,"1/4""x1""X23"" Groundbar..",TRUE,none,aak_product_data.product_category_components
product_template_13503,13503,Unidapt Signal Sampler,TRUE,none,aak_product_data.product_category_components
product_template_13936,13936,450-470 Antenna,TRUE,none,aak_product_data.product_category_components
product_template_14326,14326,"#8 1/2"" Hpillips Steel Wafer Head Stinger Point Screw in Black",TRUE,none,aak_product_data.product_category_components
product_template_14459,14459,Fiberglass Omni Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_14515,14515,Male N LMR-400,TRUE,none,aak_product_data.product_category_components
product_template_15052,15052,Bronze Transition Clamp,TRUE,none,aak_product_data.product_category_components
product_template_15124,15124,KATHREIN TY-900 broadband yagi antenna is specifically designed for professional fixed station applications in the 890 - 960 MHz frequency range. This 7-element yagi antenna has a gain of 12.15 dBi and a maximum power input of 100 watts,TRUE,none,aak_product_data.product_category_components
product_template_15289,15289,Omni Antenna..,TRUE,none,aak_product_data.product_category_components
product_template_15577,15577,Polyphaser,TRUE,none,aak_product_data.product_category_components
product_template_15634,15634,Low profile antennas 0-1000 MHz includes 17 feet of RG58/U cable.,TRUE,none,aak_product_data.product_category_components
product_template_16394,16394,NMO Gaskets - 3pk,TRUE,none,aak_product_data.product_category_components
product_template_16526,16526,N M Crimp,TRUE,none,aak_product_data.product_category_components
product_template_16653,16653,N/F-N/F Bulkhead Receptacle,TRUE,none,aak_product_data.product_category_components
product_template_16826,16826,Polyphaser,TRUE,none,aak_product_data.product_category_components
product_template_16986,16986,"LARSEN 470-490 MHz Mirage low profile unity gain black antenna, 100 watts. Order Motorola/NMO style mount and cable separately.",TRUE,none,aak_product_data.product_category_components
product_template_17174,17174,Right Angle Antenna UHF,TRUE,none,aak_product_data.product_category_components
product_template_17232,17232,BNC/F-BNC/M-BNC/F Tee,TRUE,none,aak_product_data.product_category_components
