id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_5abbm,5ABBM,"KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM, KCT-71M2(x2), KCT-23M3, KMB-33M","KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM, KCT-71M2(x2), KCT-23M3, KMB-33M",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5abbmm,5ABBMM,"KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2)","KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5abbmm_mr,5ABBMM-MR,"KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)","KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5abm,5ABM,"KMC-65M, KCH-19M, KRK-14HM, KRK-15BM, KCT-71M2, KCT-23M3, KMB-33M ","KMC-65M, KCH-19M, KRK-14HM, KRK-15BM, KCT-71M2, KCT-23M3, KMB-33M ",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5abmm,5ABMM,"KMC-65M, KCH-19M, KRK-14HM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2)","KMC-65M, KCH-19M, KRK-14HM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5abmm_mr,5ABMM-MR,"KMC-65M, KCH-19M, KRK-14HM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)","KMC-65M, KCH-19M, KRK-14HM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5affm,5AFFM,"KMC-65M(x2), KCH-20RM(x2), KRK-15BM, KCT-71M2(x2), KCT-23M3, KMB-33M, KES-5A(x2), KCT-72M(x2)","KMC-65M(x2), KCH-20RM(x2), KRK-15BM, KCT-71M2(x2), KCT-23M3, KMB-33M, KES-5A(x2), KCT-72M(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5affmm,5AFFMM,"KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KCT-72M(x2)","KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KCT-72M(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5affmm_mr,5AFFMM-MR,"KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)","KMC-65M(x2), KCH-20RM(x2), KRK-15BM(x2), KCT-71M2(x2), KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5afm,5AFM,"KMC-65M, KCH-20RM, KRK-15BM, KCT-71M2, KCT-23M3, KMB-33M, KES-5A, KCT-72M","KMC-65M, KCH-20RM, KRK-15BM, KCT-71M2, KCT-23M3, KMB-33M, KES-5A, KCT-72M",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5afmm,5AFMM,"KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A, KCT-72M","KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A, KCT-72M",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5afmm_mr,5AFMM-MR,"KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)","KMC-65M, KCH-20RM, KRK-15BM(x2), KCT-71M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5ahm,5AHM,"KCH-21RM, KRK-15BM, KCT-77M2, KCT-23M3, KMB-33M","KCH-21RM, KRK-15BM, KCT-77M2, KCT-23M3, KMB-33M",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5ahmm,5AHMM,"KCH-21RM, KRK-15BM(x2), KCT-77M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2)","KCH-21RM, KRK-15BM(x2), KCT-77M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_5ahmm_mr,5AHMM-MR,"KCH-21RM, KRK-15BM(x2), KCT-77M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)","KCH-21RM, KRK-15BM(x2), KCT-77M2, KCT-71M4, KCT-23M3(x2), KMB-33M(x2), KES-5A(x2), KAP-2(x2)",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6abbmig,6ABBMIG,"KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KCT-71M2(x2), KCT-23M4, KCT-18, KMB-36","KMC-65M(x2), KCH-19M(x2), KRK-14HM(x2), KCT-71M2(x2), KCT-23M4, KCT-18, KMB-36",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6abmig,6ABMIG,"KMC-65M, KCH-19M, KRK-14HM, KCT-71M2, KCT-23M4, KCT-18, KMB-36","KMC-65M, KCH-19M, KRK-14HM, KCT-71M2, KCT-23M4, KCT-18, KMB-36",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6affmig,6AFFMIG,"KMC-65M(x2), KCH-20RM(x2), KCT-71M2(x2), KCT-23M4, KCT-72M(x2), KES-5A(x2), KCT-18, KMB-36","KMC-65M(x2), KCH-20RM(x2), KCT-71M2(x2), KCT-23M4, KCT-72M(x2), KES-5A(x2), KCT-18, KMB-36",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6afmig,6AFMIG,"KMC-65M, KCH-20RM, KCT-71M2, KCT-23M4, KCT-72M, KES-5A, KCT-18, KMB-36","KMC-65M, KCH-20RM, KCT-71M2, KCT-23M4, KCT-72M, KES-5A, KCT-18, KMB-36",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6afmmig,6AFMMIG,"KMC-65M, KCH-20RM, KCT-71M2, KCT-23M4(x2), KCT-72M, KES-5A, KCT-18(x2), KMB-36 (x2), KCT-71M4","KMC-65M, KCH-20RM, KCT-71M2, KCT-23M4(x2), KCT-72M, KES-5A, KCT-18(x2), KMB-36 (x2), KCT-71M4",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
product_template_6ahmig,6AHMIG,"KCH-21RM, KCT-77M2, KCT-23M4, KCT-18, KMB-36","KCH-21RM, KCT-77M2, KCT-23M4, KCT-18, KMB-36",TRUE,none,aak_product_data.product_category_kenwood_lmr_dealer_components
