id,default_code,description,name,is_storable,tracking,categ_id:id
product_template_5452275,5452275,IP MOBILITY ROUTER: Cisco C921-4P + SL-900-APP,IP MOBILITY ROUTER: Cisco C921-4P + SL-900-APP,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kas_20k,KAS-20K,AVL & DISPATCH SOFTWARE BASE LICENSE,AVL & DISPATCH SOFTWARE BASE LICENSE,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ken_4012,KEN-4012,DC POWER SUPPLY: Duracomm RMF-4012,DC POWER SUPPLY: Duracomm RMF-4012,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_1002gw,KPG-1002GW,Option license for IP gateway,Option license for IP gateway,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_1003ns,KPG-1003NS,Option license for Network management server,Option license for Network management server,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_1004nc,KPG-1004NC,Network Manager Client Software</p><p>Note: Required for Network Management.</p><p>A unique license key is required for each PC with software installed. A single license key will not authorize multiple PCs. Requires KPT-300LMC for authentication.,Network Manager Client Software,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_1011vp,KPG-1011VP,KPG-1002GW G.711 Voice path license,KPG-1002GW G.711 Voice path license,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_110smk,KPG-110SMK,System Manager Trunking Software</p><p>Note:  Additional Programming Software (One copy included with KPGKEYSM)  Software cannot be opened without a valid KSGPGKEY01 or KSGPGKEY02 secure USB key.,System Manager Trunking Software,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_149rm,KPG-149RM,Nexedge Repeater Monitoring Software,Nexedge Repeater Monitoring Software,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_150ap,KPG-150AP,"OTAP Manager </p><p>Note:</p><p>- Includes a license for one computer, one base radio (mobile or portable), and 10 subscriber radios (mobile or portable)</p><p>- NEXEDGE Type-D Trunking and DMR System not supported.",OTAP Manager ,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_180ap,KPG-180AP,"OTAP Manager Software (Windows® 7/8/8.1/10)  </p><p>License includes: Software manages up to fifty(50) radio program files, one communication profile for each NXDN serial connection, DMR serial connection, NXDN Type-C IP, and DMR AIS IP connection </p><p>Note: For each additional serial connected base radio or IP connected RF system, one additional communication profile is required.</p><p>Note: Requires KPT-300LMC for license authentication",OTAP Manager Software (Windows® 7/8/8.1/10)  ,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_d2nk,KPG-D2NK,"License Key for KPG-D2NK</p><p>Programming Software for NXR-5000 Repeater (Windows® Vista/7/8/8.1/10/11)  </p><p>Note:</p><p>- Requires KPT-300LMC for authentication.</p><p>- To program NXR-5000, Type A/B USB Cable (KSGCB10206) may be required.",License Key for KPG-D2NK,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_d7k,KPG-D7K,Repeater Programming Software,Repeater Programming Software,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2ipgw,KPG-GEN2IPGW,NEXEDGE GEN2 IP GATEWAY</p><p>(Includes Server and IP Gateway Software),NEXEDGE GEN2 IP GATEWAY,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2ipgwr,KPG-GEN2IPGWR,NEXEDGE GEN2 IP GATEWAY LOCAL REDUNDANCY PCKG</p><p>(Includes 2 units of Server and IP Gateway Software each for redundancy),NEXEDGE GEN2 IP GATEWAY LOCAL REDUNDANCY PCKG,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2nms,KPG-GEN2NMS,NEXEDGE GEN2 NETWORK MANAGEMENT SERVER</p><p>(Includes Server and Nertwork Management Service Software),NEXEDGE GEN2 NETWORK MANAGEMENT SERVER,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2rg,KPG-GEN2RG,NEXEDGE GEN2 ROAMING GATEWAY</p><p>(Includes Server and Roaming Gateway Server Software),NEXEDGE GEN2 ROAMING GATEWAY,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2st,KPG-GEN2ST,NEXEDGE GEN2 SITE CONTROLLER</p><p>(Includes Server and Site Control Software),NEXEDGE GEN2 SITE CONTROLLER,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2str,KPG-GEN2STR,NEXEDGE GEN2 SITE CONTROLLER LOCAL REDUNDANCY PCKG</p><p>(Includes 2 units of Server and Site Control Software each for redundancy),NEXEDGE GEN2 SITE CONTROLLER LOCAL REDUNDANCY PCKG,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2sy,KPG-GEN2SY,NEXEDGE GEN2 SYSTEM CONTROLLER</p><p>(Includes Server and System Control Software),NEXEDGE GEN2 SYSTEM CONTROLLER,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpg_gen2syr,KPG-GEN2SYR,NEXEDGE GEN2 SYSTEM CONTROLLER GEO-REDUNDANCY PCKG</p><p>(Includes 2 units of Server and Server Control Software each for redundancy ),NEXEDGE GEN2 SYSTEM CONTROLLER GEO-REDUNDANCY PCKG,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpgkey01,KPGKEY01,Grade-1 Unlimited Access Secure USB Programming Key,Grade-1 Unlimited Access Secure USB Programming Key,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpgkey02,KPGKEY02,Grade-2 Limited Access Secure USB Programming Key,Grade-2 Limited Access Secure USB Programming Key,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpgkeysm,KPGKEYSM,"System Manager Software and Secure USB Key Package (KPG-110SMK, KPGKEY01)</p><p>Note:  Only required when used as a trunking system.","System Manager Software and Secure USB Key Package (KPG-110SMK, KPGKEY01)",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_kpt_300lmc,KPT-300LMC,License Management Client (downloadable from MyTools website),License Management Client (downloadable from MyTools website),TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgdx23101,KSGDX23101,4 Cavity UHF BpBr Duplexer (450-470MHz Only). TX and RX Frequencies: REQUIRED WITH ORDER,4 Cavity UHF BpBr Duplexer (450-470MHz Only). TX and RX Frequencies: REQUIRED WITH ORDER,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgdx62001,KSGDX62001,"Mobile Duplexer, VHF, 148-160MHz, 6 cavities, 4.5MHz sep, N-F</p><p>Note: Mobile duplexers are not ideal for high RF density configurations. TX and RX Frequencies: REQUIRED WITH ORDER","Mobile Duplexer, VHF, 148-160MHz, 6 cavities, 4.5MHz sep, N-F",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgdx63002,KSGDX63002,"Mobile Duplexer, UHF, 450-470MHz, 6 cavities, 5MHz sep, N-F</p><p>Note: Mobile duplexers are not ideal for high RF density configurations. TX and RX Frequencies: REQUIRED WITH ORDER","Mobile Duplexer, UHF, 450-470MHz, 6 cavities, 5MHz sep, N-F",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgmt90005,KSGMT90005,"Mounting Rack, Black, required when ordering 5-Pack Amplifiers only","Mounting Rack, Black, required when ordering 5-Pack Amplifiers only",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa22415,KSGPA22415,136-174MHz 3W Input 50-100W Output,136-174MHz 3W Input 50-100W Output,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa22416,KSGPA22416,"136-174MHz, 3W Input, 100W Output, 5-Pack","136-174MHz, 3W Input, 100W Output, 5-Pack",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23411,KSGPA23411,"403-450MHz, 3W Input, 50-100W Output","403-450MHz, 3W Input, 50-100W Output",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23413,KSGPA23413,"450-512MHz, 3W Input, 50-100W Output","450-512MHz, 3W Input, 50-100W Output",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23513,KSGPA23513,"450-512MHz, 25W Input, 50-100W Output","450-512MHz, 25W Input, 50-100W Output",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23543,KSGPA23543,"450-512MHZ, 25W Input, 150W Output","450-512MHZ, 25W Input, 150W Output",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23703,KSGPA23703,"450-512MHz, 3W Input, 100W Output, 5-Pack","450-512MHz, 3W Input, 100W Output, 5-Pack",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa23705,KSGPA23705,"450-512MHz, 3W Input, 50W Output, 5-Pack","450-512MHz, 3W Input, 50W Output, 5-Pack",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpa24181,KSGPA24181,"764-870MHz, 250mW Input, 80W Output","764-870MHz, 250mW Input, 80W Output",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpg91800,KSGPG91800,Repeater Trunking Feature</p><p>Note:  One Feature required for each trunking repeater.,Repeater Trunking Feature,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgpg91810,KSGPG91810,Multi-Site Networking Feature</p><p>Note:  One required for each networked site.,Multi-Site Networking Feature,TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgps20352,KSGPS20352,"35A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply with SmartCharger</p><p>Note:  Incompatible with 150W or 250W amplifier option.","35A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply with SmartCharger",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgps20400,KSGPS20400,"40A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply</p><p>Note:  Incompatible with 150W or 250W amplifier option.","40A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply",TRUE,none,aak_product_data.product_category_kenwood_components
product_template_ksgps20701,KSGPS20701,"70A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply              ","70A, 13.8VDC, 19"" Wide Rack-Mounted Power Supply              ",TRUE,none,aak_product_data.product_category_kenwood_components
