id,default_code,name,description,is_storable,tracking,categ_id:id
product_template_32012144001,32012144001,Gray Antenna ID Band (pack of 10),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_32012144002,32012144002,Yellow Antenna ID Band (pack of 10),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_32012144003,32012144003,Green Antenna ID Band (pack of 10),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_32012144004,32012144004,Blue Antenna ID Band (pack of 10),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_32012144005,32012144005,Purple Antenna ID Band (pack of 10),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_8504762j02,8504762J02,VHF Helical Antenna 155-174 MHz (14 cm),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_8505241u04,8505241U04,896-941 MHz 1/2 Wave Whip Antenna,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_8505241u06,8505241U06,806-941 MHz 1/4 Wave Stubby Antenna,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_8505816k24,8505816K24,"UHF Heliflex Stubby, 403-440 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_had9338_r,HAD9338_R,"VHF Heliflex Antenna, 136-162 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_had9742,HAD9742,"VHF Stubby Antenna, 146-162 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_had9743,HAD9743,"VHF Stubby Antenna, 162-174 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_hkan4002,HKAN4002,TLK 100 VZW LTE Antenna,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_hkan4005,HKAN4005,TLK 110 LTE Antenna (NA),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_nad6502_r,NAD6502_R,"VHF Heliflex Antenna, 146-174 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_nad6579,NAD6579,"VHF Whip Antenna, 148-161 MHz (Enhanced Performance, 7.5"")",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4012,PMAD4012,"VHF Stubby Antenna, 136-155 MHz (Red Color Code)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4013,PMAD4013,"VHF Stubby Antenna, 155-174 MHz (Black Color Code)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4014,PMAD4014,"VHF Helical Antenna, 136-155 MHz (14cm)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4042,PMAD4042,"VHF Heliflex, 136-150.8 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4116,PMAD4116,VHF HELICAL ANTENNA (144-165 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4117,PMAD4117,VHF HELICAL ANTENNA (136-155 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4118,PMAD4118,VHF HELICAL ANTENNA (152-174 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4119,PMAD4119,VHF STUBBY ANTENNA (136-148 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4120,PMAD4120,VHF STUBBY ANTENNA (146-160 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4121,PMAD4121,VHF STUBBY ANTENNA (160-174 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4147,PMAD4147,"VHF WHIP ANT ,136-174MHZ",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4051_r,PMAD4051_R,"Mag One VHF Antenna, 150-174 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4144,PMAD4144,VHF STUBBY ANT (136-144MHz) 5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4145,PMAD4145,VHF STUBBY ANT (144-156MHz) 5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4146,PMAD4146,VHF STUBBY ANT (156-174MHz) 5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4164,PMAD4164,ANTENNA MAG ONE VHF WHIP 136-155 MHZ,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmad4165,PMAD4165,ANTENNA MAG ONE VHF WHIP 152-174 MHZ,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4002,PMAE4002,"UHF Stubby Antenna, 403-433 MHz (9cm)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4003,PMAE4003,"UHF Stubby Antenna, 430-470 MHz (9cm)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4006,PMAE4006,"UHF Stubby Antenna, 465-490 MHz (9cm)",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4016,PMAE4016,"UHF Whip Antenna, 403-520 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4020,PMAE4020,"Mag One UHF Stubby Antenna, 450-470 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4069,PMAE4069,UHF STUBBY ANTENNA (400-450 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4070,PMAE4070,UHF STUBBY ANTENNA (440-490 MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4079,PMAE4079,UHF SLIM WHIP ANTENNA (400-527MHZ),,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4093,PMAE4093,UHF STUBBY ANT (403-425MHz) 4.5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4094,PMAE4094,UHF STUBBY ANT (420-445MHz) 4.5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4095,PMAE4095,UHF STUBBY ANT (435-470MHz) 4.5cm,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4117,PMAE4117,ANTENNA MAG ONE UHF WHIP 400-470 MHZ,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4118,PMAE4118,ANTENNA MAG ONE UHF STUBBY 450-470 MHZ,,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmae4119,PMAE4119,"ANTENNA, WHIP,MAG ONE X U2 WHIP ANTTENA",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmaf4024,PMAF4024,"900MHz Whip Antenna, 902-928MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_pmaf4025,PMAF4025,"ANTENNA, STUBBY,902-928MHZ, KIT",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_ran4031,RAN4031,"UHF Whip Antenna, 403-470 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_ran4033,RAN4033,"UHF Stubby Antenna, 450-470 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_ran4041,RAN4041,"VHF Helical Antenna, 146-174 MHz",,TRUE,none,product_category_motorola_commercial_accessories_portable_antennas
product_template_53964,53964,"Li-ion, 1500 mAh, 3.6V Battery (component part number  NNTN6923_)",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_hkln4678,HKLN4678,TLK 100 Battery Door,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_hkln4690,HKLN4690,TLK 110 Battery Door,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_nntn4497_r,NNTN4497_R,"Li-ion, 2250 mAh, 7.5V Battery ",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_nntn4851,NNTN4851,"NiMH, 1400 mAh, 7.5V Battery (comp. with WPLN4138_R , WLN4161_R & NNTN8353)",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4253,PMNN4253,BATT LIION IP54 2100T,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmhf4014,PMHF4014,Battery Door Kit,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4071_r,PMNN4071_R,"Mag One NiMH, 1200 mAh Battery",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4075_r,PMNN4075_R,"Mag One Li-ion, 1500 mAh Battery 
(comp. with PMPN4140 charger base and PMLN5048_R charger kit only)",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4080,PMNN4080,Li-ion High Capacity 2150 mAh 7.4V Battery,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4458_r,PMNN4458_R,"Li-Ion, 2050 mAh Battery",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4468,PMNN4468,Li-Ion Battery 2300MAH (BT100x),,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4476,PMNN4476,Li-ion IP54 1750T,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4847_r,PMNN4847_R,"BATTERY PACK, MAG ONE, LIION 2200T BATTERY KIT",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4497_r_,PMNN4497_R ,BATT LIION 1800T ,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4578,PMNN4578,"Li-ion, 2500T Battery Pack",,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4598,PMNN4598,BATT LIION IP55 2300T,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmnn4600,PMNN4600,BATT LIION IP55 2100T,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_pmln7074,PMLN7074,Battery Door Cover,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_rln6306,RLN6306,Alkaline Battery Shell,,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_rln6308,RLN6308,Ultra High Capacity Li-ion Battery (component P/N 60012000001),,TRUE,none,product_category_motorola_commercial_accessories_batteries
product_template_1505596z02,1505596Z02,Case Adjustable Chest Pack,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_4280384f89,4280384F89,"Universal RadioPAK™ Extension Belt for waist larger than 40""",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_4280483b03,4280483B03,"2.5"" Swivel Belt Loop",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_4280483b04,4280483B04,"3"" Swivel Belt Loop",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_53961,53961,Swivel Belt Holster,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hcln4013,HCLN4013,Replacement Swivel Belt Holster,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln6602,HLN6602,"Universal Chest Pack with Radio Holder, Pen Holder & Velcro Secured Pocket",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln8255,HLN8255,"3"" Spring Action Belt Clip",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln9701,HLN9701,Nylon Case with Belt Loop (Resale Packaging available through RPSD),,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln9714,HLN9714,SPRING BELT CLIP 2 1/2,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln9844,HLN9844,"2"" Spring Belt Clip",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_hln9985,HLN9985,"Waterproof Bag, includes large carrying strap",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_ntn5243,NTN5243,Carry Case Shoulder Strap,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln4651,PMLN4651,2 INCH BELT CLIP,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln4742,PMLN4742,Mag One Hard Leather Carry Case,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln4743,PMLN4743,"Mag One 2"" Spring Belt Clip",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln5334,PMLN5334,Soft Leather Protective Case,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln5610,PMLN5610,"ACCESSORY KIT,2.5 INCH SWIVEL BELT LOOP",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln5611,PMLN5611,"ACCESSORY KIT,3.0 INCH SWIVEL BELT LOOP",,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln7008,PMLN7008,2.5-INCH BELT CLIP,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln6074,PMLN6074,Nylon Wrist Straps,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln7076,PMLN7076,Flexible Hand Strap,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln7128,PMLN7128,Belt Clip (Heavy-Duty),,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
product_template_pmln7190,PMLN7190,Swivel Carry Holster,,TRUE,none,product_category_motorola_commercial_accessories_carry_cases
