id,default_code,name,description,is_storable,tracking,categ_id:id
product_template_an000348a01,AN000348A01,UHF Short Whip Antenna (400-527 MHz),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_an000350a01,AN000350A01,UHF Stubby Antenna (400-450 MHz),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_an000351a01,AN000351A01,UHF Stubby Antenna (440-490 MHz),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_an000415a01,AN000415A01 ,"ANTENNA, WHIP, 806-941MHZ, 140MM, FERRULE  ",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_hkan4004,HKAN4004,Stubby LTE ,,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_naf5087,NAF5087,Whip Antenna 800 MHz 1/2 Wave - Intrinsically Safe (FM)  ,,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_naf5088,NAF5088,Whip Antenna 900 MHz 1/2 Wave - Intrinsically Safe (FM),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4067,PMAD4067,"Combination VHF Whip Antenna with GPS, 136-147 MHz - Intrinsically Safe (FM) ",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4068,PMAD4068,"Combination VHF Whip Antenna with GPS, 147-160 MHz - Intrinsically Safe (FM)",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4069,PMAD4069,"Combination VHF Whip Antenna with GPS, 160-174 MHz - Intrinsically Safe (FM)",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4086,PMAD4086,"VHF Antenna for Public Safety Microphone, 150-174 MHz - Intrinsically Safe (FM)",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4087,PMAD4087,"VHF Antenna for Public Safety Microphone, 136-153 MHz - Intrinsically Safe (FM)",,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4088,PMAD4088,VHF Flexible Whip Antenna 21cm (136-174MHz) - Intrinsically Safe (FM),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4093,PMAD4093,VHF Stubby Antenna 11cm (136-147MHz) - Intrinsically Safe (FM),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4094,PMAD4094,VHF Stubby Antenna 11cm (147-160MHz) - Intrinsically Safe (FM),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4095,PMAD4095,VHF Stubby Antenna 11cm (160-174MHz) - Intrinsically Safe (FM),,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
product_template_pmad4116,PMAD4116,VHF Helical Antenna (144-165 MHz) - FM / UL Approved,,TRUE,none,product_category_motorola_professional_accessories_pro_tier_digital_antennas
