id,parent_id:id,name
product_category_components,product.product_category_all,Components
product_category_kenwood,product.product_category_all,Kenwood
product_category_kenwood_components,product_category_kenwood,Components
product_category_kenwood_lmr_dealer,product_category_kenwood,LMR Dealer
product_category_kenwood_lmr_dealer_components,product_category_kenwood_lmr_dealer,Components
product_category_motorola,product.product_category_all,Motorola
product_category_motorola_commercial,product_category_motorola,Commercial
product_category_motorola_professional,product_category_motorola,Professional
product_category_motorola_commercial_accessories,product_category_motorola_commercial,Accessories
product_category_motorola_commercial_accessories_portable_antennas,product_category_motorola_commercial_accessories,Portable Antennas
product_category_motorola_commercial_accessories_batteries,product_category_motorola_commercial_accessories,Batteries
product_category_motorola_commercial_accessories_carry_cases,product_category_motorola_commercial_accessories,Carry Cases
product_category_motorola_commercial_accessories_chargers,product_category_motorola_commercial_accessories,Chargers
product_category_motorola_commercial_accessories_ear_pieces,product_category_motorola_commercial_accessories,Ear Pieces
product_category_motorola_commercial_accessories_headsets,product_category_motorola_commercial_accessories,Headsets
product_category_motorola_commercial_accessories_microphones,product_category_motorola_commercial_accessories,Microphones
product_category_motorola_commercial_accessories_portable_service_tools,product_category_motorola_commercial_accessories,Portable Service Tools
product_category_motorola_commercial_accessories_call_boxes,product_category_motorola_commercial_accessories,Call Boxes
product_category_motorola_commercial_accessories_mobile_antennas,product_category_motorola_commercial_accessories,Mobile Antennas
product_category_motorola_commercial_accessories_mobile_microphones,product_category_motorola_commercial_accessories,Mobile Microphones
product_category_motorola_commercial_accessories_mobile_service_tools,product_category_motorola_commercial_accessories,Mobile Service Tools
product_category_motorola_commercial_accessories_general_mobile_accessories,product_category_motorola_commercial_accessories,General Mobile Accessories
product_category_motorola_commercial_accessories_general_mobile_accessories_control_stations,product_category_motorola_commercial_accessories_general_mobile_accessories,Control Stations
product_category_motorola_commercial_accessories_general_mobile_accessories_general,product_category_motorola_commercial_accessories_general_mobile_accessories,General
product_category_motorola_commercial_accessories_general_mobile_accessories_handsfree,product_category_motorola_commercial_accessories_general_mobile_accessories,Handsfree
product_category_motorola_commercial_accessories_general_mobile_accessories_power_cables,product_category_motorola_commercial_accessories_general_mobile_accessories,Power Cables
product_category_motorola_commercial_accessories_general_mobile_accessories_mounting,product_category_motorola_commercial_accessories_general_mobile_accessories,Mounting
product_category_motorola_commercial_accessories_general_mobile_accessories_public_address,product_category_motorola_commercial_accessories_general_mobile_accessories,Public Address
product_category_motorola_commercial_accessories_vxevx_accessories,product_category_motorola_commercial_accessories,VXEVX Accessories
product_category_motorola_commercial_accessories_vxevx_accessories_portable_antennas,product_category_motorola_commercial_accessories_vxevx_accessories,Portable Antennas
product_category_motorola_commercial_accessories_vxevx_accessories_batteries,product_category_motorola_commercial_accessories_vxevx_accessories,Batteries
product_category_motorola_commercial_accessories_vxevx_accessories_carry_cases,product_category_motorola_commercial_accessories_vxevx_accessories,Carry Cases
product_category_motorola_commercial_accessories_vxevx_accessories_chargers,product_category_motorola_commercial_accessories_vxevx_accessories,Chargers
product_category_motorola_commercial_accessories_vxevx_accessories_headsets_and_surveillance,product_category_motorola_commercial_accessories_vxevx_accessories,Headsets and Surveillance
product_category_motorola_commercial_accessories_vxevx_accessories_speaker_microphones,product_category_motorola_commercial_accessories_vxevx_accessories,Speaker Microphones
product_category_motorola_commercial_accessories_vxevx_accessories_portable_service_tools,product_category_motorola_commercial_accessories_vxevx_accessories,Portable Service Tools
product_category_motorola_commercial_accessories_vxevx_accessories_mobile_microphones,product_category_motorola_commercial_accessories_vxevx_accessories,Mobile Microphones
product_category_motorola_commercial_accessories_vxevx_accessories_mobile_speakers,product_category_motorola_commercial_accessories_vxevx_accessories,Mobile Speakers
product_category_motorola_commercial_accessories_vxevx_accessories_mobile_power_supply,product_category_motorola_commercial_accessories_vxevx_accessories,Mobile Power Supply
product_category_motorola_commercial_accessories_vxevx_accessories_option_boards,product_category_motorola_commercial_accessories_vxevx_accessories,Option Boards
